No,Recommendations,COR,LOE,Stage,Rules,
89,"In select patients with wild-type or variant transthyretin cardiac amyloidosis and NYHA class I to III HF symptoms, transthyretin tetramer stabilizer therapy (tafamidis) is indicated to reduce cardiovascular morbidity and mortality.",1,B-R,C,"recommendation(tafamidis, 89):-
        evidence(accf_stage_c),
        (evidence(attr_wt);evidence(attr_v)),
        (evidence(nyha_class_1);evidence(nyha_class_2);evidence(nyha_class_3)).",Treatment of Cardiac Amyloidosis
90,"At 2020 list prices, tafamidis provides low economic value (>$180 000 per QALY gained) in patients with HF with wild-type or variant transthyretin cardiac amyloidosis.",Value Statement: Low Value,B-NR,C,-,Treatment of Cardiac Amyloidosis
91,"In patients with cardiac amyloidosis and AF, anticoagulation is reasonable to reduce the risk of stroke regardless of the CHA2DS2-VASc (congestive heart failure, hypertension, age ≥75 years, diabetes mellitus, stroke or transient ischemic attack [TIA], vascular disease, age 65 to 74 years, sex category) score.",2a,C-LD,C,"recommendation(anticoagulant, 91):-
        evidence(accf_stage_c),
        (evidence(attr_wt);evidence(attr_v)).",Treatment of Cardiac Amyloidosis
92,"In patients with advanced HF, when consistent with the patient’s goals of care, timely referral for HF specialty care is recommended to review HF management and assess suitability for advanced HF therapies (eg, LVAD, cardiac transplantation, palliative care, and palliative inotropes)",1,C-LD,D,- (No Rules),Specialty Referral for Advanced HF
93,"For patients with advanced HF and hyponatremia, the benefit of fluid restriction to reduce congestive symptoms is uncertain.",2b,C-LD,D,"recommendation(fluid_restriction, 93):-
        evidence(accf_stage_d),
        evidence(hyponatremia).
",Nonpharmacological Management
94,"In patients with advanced (stage D) HF refractory to GDMT and device therapy who are eligible for and awaiting MCS or cardiac transplantation, continuous intravenous inotropic support is reasonable as “bridge therapy.”",2a,B-NR,D,,Inotropic Support
95,"In select patients with stage D HF, despite optimal GDMT and device therapy who are ineligible for either MCS or cardiac transplantation, continuous intravenous inotropic support may be considered as palliative therapy for symptom control and improvement in functional status.",2b,B-NR,D,,Inotropic Support
96,"In patients with HF, long-term use of either continuous or intermittent intravenous inotropic agents, for reasons other than palliative care or as a bridge to advanced therapies, is potentially harmful.",3: Harm,B-R,D,,Inotropic Support
97,"In select patients with advanced HFrEF with NYHA class IV symptoms who are deemed to be dependent on continuous intravenous inotropes or temporary MCS, durable LVAD implantation is effective to improve functional status, QOL, and survival.",1,A,D,"recommendation(durable_lvad_implantation, 97):-
        evidence(accf_stage_c),
        evidence(hf_with_reduced_ef),
        evidence(nyha_class_4),
        (evidence(dependence_of_continuous_iv_inotropes);evidence(dependence_of_temporary_mcs)).",Mechanical Circulatory Support
98,"In select patients with advanced HFrEF who have NYHA class IV symptoms despite GDMT, durable MCS can be beneficial to improve symptoms, improve functional class, and reduce mortality.",2a,B-NR,D,"recommendation(durable_mcs, 98):-
        evidence(accf_stage_d),
        evidence(hf_with_reduced_ef),
        evidence(nyha_class_4).",Mechanical Circulatory Support
99,"In patients with advanced HFrEF who have NYHA class IV symptoms despite GDMT, durable MCS devices provide low to intermediate economic value based on current costs and outcomes.",Value Statement: Uncertaion Value,B-NR,D,-,Mechanical Circulatory Support
100,"In patients with advanced HFrEF and hemodynamic compromise and shock, temporary MCS, including percutaneous and extracorporeal ventricular assist devices, are reasonable as a “bridge to recovery” or “bridge to decision.”",2a,B-NR,D,"recommendation(temporary_mcs, 100):-
        evidence(accf_stage_d),
        evidence(hemodynamic_compromise_and_shock).",Mechanical Circulatory Support
101,"For selected patients with advanced HF despite GDMT, cardiac transplantation is indicated to improve survival and QOL",1,C-LD,D,- (doctor's judgement),Cardiac Transplantation
102,"In patients with stage D (advanced) HF despite GDMT, cardiac transplantation provides intermediate economic value.",Value Statement: Intermediate Value,C-LD,D,-,Cardiac Transplantation
103,"In patients hospitalized with HF, severity of congestion and adequacy of perfusion should be assessed to guide triage and initial therapy.",1,C-LD,"C, D",-,Assessment of Patients Hospitalized
104,"In patients hospitalized with HF, the common precipitating factors and the overall patient trajectory should be assessed to guide appropriate therapy",1,C-LD,"C, D",-,Assessment of Patients Hospitalized
105,"For patients admitted with HF, treatment should address reversible factors, establish optimal volume status, and advance GDMT toward targets for outpatient therapy.",1,C-LD,"C, D",-,Assessment of Patients Hospitalized
106,"In patients with HFrEF requiring hospitalization, preexisting GDMT should be continued and optimized to improve outcomes, unless contraindicated.",1,B-NR,"C, D",-,Maintenance or Optimization of GDMT During Hospitalization
107,"In patients experiencing mild decrease of renal function or asymptomatic reduction of blood pressure during HF hospitalization, diuresis and other GDMT should not routinely be discontinued.",1,B-NR,"C, D",-,Maintenance or Optimization of GDMT During Hospitalization
108,"In patients with HFrEF, GDMT should be initiated during hospitalization after clinical stability is achieved.",1,B-NR,"C, D",-,Maintenance or Optimization of GDMT During Hospitalization
109,"In patients with HFrEF, if discontinuation of GDMT is necessary during hospitalization, it should be reinitiated and further optimized as soon as possible.",1,B-NR,"C, D",-,Maintenance or Optimization of GDMT During Hospitalization
110,Patients with HF admitted with evidence of significant fluid overload should be promptly treated with intravenous loop diuretics to improve symptoms and reduce morbidity.,1,B-NR,"C, D","recommendation(iv_loop_diuretics, 110):-
        evidence(hospitalized),
        (evidence(accf_stage_c);evidence(accf_stage_d)),
        evidence(fluid_overload).",Decongestion Strategy
111,"For patients hospitalized with HF, therapy with diuretics and other guideline-directed medications should be titrated with a goal to resolve clinical evidence of congestion to reduce symptoms and rehospitalizations.",1,B-NR,"C, D","recommendation(diuretics_titration, 111):-
        evidence(hospitalized),
        (evidence(accf_stage_c);evidence(accf_stage_d)),
        evidence(congestion).",Decongestion Strategy
112,"For patients requiring diuretic treatment during hospitalization for HF, the discharge regimen should include a plan for adjustment of diuretics to decrease rehospitalizations.",1,B-NR,"C, D",-,Decongestion Strategy
113,"In patients hospitalized with HF when diuresis is inadequate to relieve symptoms and signs
of congestion, it is reasonable to intensify the diuretic regimen using either: a. higher doses of intravenous loop diuretics.); or b. addition of a second diuretic.",2a,B-NR,"C, D",-,Decongestion Strategy
114,"In patients who are admitted with decompensated HF, in the absence of systemic hypotension, intravenous nitroglycerin or nitroprusside may be considered as an adjuvant to diuretic therapy for relief of dyspnea.",2b,B-NR,"C, D","recommendation(iv_nitroglycerin_or_nitroprusside, 114):-
        evidence(hospitalized),
        evidence(decompensated_hf),
        \+ evidence(hypotension).",Parenteral Vasodilation Therapy in Patients Hospitalized With HF
115,"In patients hospitalized with HF, prophylaxis for VTE is recommended to prevent venous thromboembolic disease.",1,B-R,"C, D","recommendation(prophylaxis, 115):-
        evidence(hospitalized),
        (evidence(accf_stage_c);evidence(accf_stage_d)).",VTE Prophylaxis in Hospitalized Patient
116,"In patients with cardiogenic shock, intravenous inotropic support should be used to maintain systemic perfusion and preserve end-organ performance.",1,B-NR,D,"recommendation(iv_inotropic_support, 116):-
        evidence(accf_stage_d),
        evidence(cardiogenic_shock).",Cardiogenic Shock
117,"In patients with cardiogenic shock, temporary MCS is reasonable when end-organ function cannot be maintained by pharmacologic means to support cardiac function.",2a,B-NR,D,"recommendation(temporary_mcs, 117):-
        evidence(accf_stage_d),
        evidence(cardiogenic_shock),
        evidence(threatend_end_organ_function).",Cardiogenic Shock
118,"In patients with cardiogenic shock, management by a multidisciplinary team experienced in shock is reasonable.",2a,B-NR,D,"recommendation(multidisciplinary_management, 118):-
        evidence(accf_stage_d),
        evidence(cardiogenic_shock).
",Cardiogenic Shock
119,"In patients presenting with cardiogenic shock, placement of a PA line may be considered to define hemodynamic subsets and appropriate management strategies.",2b,B-NR,D,"recommendation(pulmonary_artery_line, 119):-
        evidence(accf_stage_d),
        evidence(cardiogenic_shock).",Cardiogenic Shock
120,"For patients who are not rapidly responding to initial shock measures, triage to centers that can provide temporary MCS may be considered to optimize management.",2b,C-LD,D,-,Cardiogenic Shock
121,"In patients with high-risk HF, particularly those with recurrent hospitalizations for HFrEF, referral to multidisciplinary HF disease management programs is recommended to reduce the risk of hospitalization",1,B-R,"C, D",-,Transitions and Team-Based Approaches
122,"In patients hospitalized with worsening HF, patient-centered discharge instructions with a clear plan for transitional care should be provided before hospital discharge.",1,B-NR,"C, D",-,Transitions and Team-Based Approaches
123,"In patients hospitalized with worsening HF, participation in systems that allow benchmarking to performance measures is reasonable to increase use of evidence-based therapy, and to improve quality of care.",2a,B-NR,"C, D",-,Transitions and Team-Based Approaches
124,"In patients being discharged after hospitalization for worsening HF, an early follow-up, generally within 7 days of hospital discharge, is reasonable to optimize care and reduce rehospitalization.",2a,B-NR,"C, D",-,Transitions and Team-Based Approaches
125,"In patients with HFrEF and iron deficiency with or without anemia, intravenous iron replacement is reasonable to improve functional status and QOL.",2a,B-R,"C, D","recommendation(iv_iron_replacement, 125):-
        evidence(hf_with_reduced_ef),
        (evidence(accf_stage_c);evidence(accf_stage_d)),
        evidence(iron_deficiency).",Comorbidities
126,"In patients with HF and anemia, erythropoietin-stimulating agents should not be used to improve morbidity and mortality.",3: Harm,B-R,"C, D","contraindication(erythropoietin_stimulating_agents, 126):-
        (evidence(accf_stage_c);evidence(accf_stage_d)),
        evidence(anemia).",Comorbidities
127,"In patients with HFrEF and hypertension, uptitration of GDMT to the maximally tolerated target dose is recommended.",1,C-LD,"C, D","recommendation(uptitration, 127):-
        evidence(hf_with_reduced_ef),
        (evidence(accf_stage_c);evidence(accf_stage_d)),
        evidence(hypertension).",Comorbidities
128,"In patients with HF and suspicion of sleep-disordered breathing, a formal sleep assessment is reasonable to confirm the diagnosis and differentiate between obstructive and central sleep apnea.",2a,C-LD,"C, D","recommendation(sleep_assesment, 128):-
        (evidence(accf_stage_c);evidence(accf_stage_d)),
        evidence(sleep_disorder_breathing).",Comorbidities
129,"In patients with HF and obstructive sleep apnea, continuous positive airway pressure may be reasonable to improve sleep quality and decrease daytime sleepiness.",2a,B-R,"C, D","recommendation(continuous_positive_airways_pressure, 129):-
        (evidence(accf_stage_c);evidence(accf_stage_d)),
        evidence(obstructive_sleep_apnea).",Comorbidities
130,"In patients with NYHA class II to IV HFrEF and central sleep apnea, adaptive servo-ventilation causes harm.",3: Harm,B-R,"C, D","contraindication(adaptive_servo_ventilation, 130):-
        evidence(hf_with_reduced_ef),
        (evidence(accf_stage_c);evidence(accf_stage_d)),
        (evidence(nyha_class_2);evidence(nyha_class_3);evidence(nyha_class_4)),
        evidence(central_sleep_apnea).",Comorbidities
131,"In patients with HF and type 2 diabetes, the use of SGLT2i is recommended for the management of hyperglycemia and to reduce HF- related morbidity and mortality.",1,A,"C, D","recommendation(sglt2i, 131):-
        (evidence(accf_stage_c);evidence(accf_stage_d)),
        evidence(type_2_diabetes).",Comorbidities
132,Patients with chronic HF with permanent-persistent-paroxysmal AF and a CHA2DS2-VASc score of ≥2 (for men) and ≥3 (for women) should receive chronic anticoagulant therapy.,1,A,D,"recommendation(chronic_anticoagulant_therapy, 132):-
        sex(male),
        evidence(accf_stage_d),
        evidence(permanent_persistent_paroxysmal_af),
        measurement(cha2ds2_vasc, X), X >= 2.

recommendation(chronic_anticoagulant_therapy, 132):-
        sex(female),
        evidence(accf_stage_d),
        evidence(permanent_persistent_paroxysmal_af),
        measurement(cha2ds2_vasc, X), X >= 3.",Management of AF
133,"For patients with chronic HF with permanent-persistent-paroxysmal AF, DOAC is recommended over warfarin in eligible patients.",1,A,D,"recommendation(direct_acting_oral_anticoagulants, 133):-
        evidence(accf_stage_d),
        evidence(permanent_persistent_paroxysmal_af).",Management of AF
134,"For patients with HF and symptoms caused by AF, AF ablation is reasonable to improve symptoms and QOL.",2a,B-NR,"C, D","recommendation(af_ablation, 134):-
        (evidence(accf_stage_c),evidence(accf_stage_d)),
        evidence(atrial_fibrillation).",Management of AF
135,"For patients with AF and LVEF ≤50%, if a rhythm control strategy fails or is not desired, and ventricular rates remain rapid despite medical therapy, atrioventricular nodal ablation with implantation of a CRT device is reasonable.",2a,B-R,"C, D","recommendation(av_node_ablation, 135):-
        (evidence(accf_stage_c);evidence(accf_stage_d)),
        evidence(atrial_fibrillation),
        measurement(lvef, X), X =< 50.

recommendation(crt, 135):-
        (evidence(accf_stage_c);evidence(accf_stage_d)),
        evidence(atrial_fibrillation),
        measurement(lvef, X), X =< 50.

",Management of AF
136,"For patients with chronic HF and permanent-persistent-paroxysmal AF, chronic anticoagulant therapy is reasonable for men and women without additional risk factors.",2a,B-NR,D,"recommendation(chronic_anticoagulant_therapy, 136):-
        evidence(accf_stage_d),
        evidence(permanent_persistent_paroxysmal_af).",Management of AF
